Potential (V)	Current (A)	
-0.0726892799139023	-8.33014419185929E-05	
-0.0736094042658806	-8.94048935151659E-05	
-0.0736094042658806	-8.61599401105195E-05	
-0.0742228180170059	-9.0196197561454E-05	
-0.0748362243175507	-9.30178939597681E-05	
-0.0760630518198013	-8.71230004122481E-05	
-0.0766764655709267	-8.33137091831304E-05	
-0.077289879322052	-9.18462756089866E-05	
-0.0779032930731773	-8.23751834104769E-05	
-0.078823409974575	-8.63991735968739E-05	
-0.0791301131248474	-8.81964733707719E-05	
-0.0803569406270981	-8.46264083520509E-05	
-0.0815837681293488	-8.69819123181514E-05	
-0.0815837681293488	-9.26805223571137E-05	
-0.0821971818804741	-8.28843185445294E-05	
-0.0831172987818718	-8.59391147969291E-05	
-0.0840374156832695	-8.85890549398027E-05	
-0.0840374156832695	-8.46080074552447E-05	
-0.0852642431855202	-9.00244413060136E-05	
-0.0858776569366455	-8.92331372597255E-05	
-0.0861843600869179	-8.58164348755963E-05	
-0.0871044844388962	-9.16193166631274E-05	
-0.0880246013402939	-9.50850953813642E-05	
-0.0886380150914192	-8.79756407812238E-05	
-0.0895581319928169	-9.69928078120574E-05	
-0.0898648351430893	-9.15947821340524E-05	
-0.0901715457439423	-9.09629670786671E-05	
-0.0917050763964653	-9.34104828047566E-05	
-0.0920117795467377	-9.68455933616497E-05	
-0.092625193297863	-9.05949127627537E-05	
-0.0932386070489883	-0.000100059871328995	
-0.094158723950386	-9.56555741140619E-05	
-0.0950788483023643	-9.29626912693493E-05	
-0.0956922620534897	-9.71829649643041E-05	
-0.0966123789548874	-9.43244667723775E-05	
-0.0969190821051598	-8.96379933692515E-05	
-0.0975324958562851	-9.93176436168142E-05	
-0.0987593233585358	-8.93558244570158E-05	
-0.0984526127576828	-9.56862422754057E-05	
-0.0996794402599335	-9.8710363090504E-05	
-0.100292854011059	-9.52752525336109E-05	
-0.101212970912457	-9.44778221310116E-05	
-0.102133095264435	-9.95323425740935E-05	
-0.103053212165833	-9.2422887973953E-05	
-0.103053212165833	-9.66983716352843E-05	
-0.10397332906723	-9.98022442217916E-05	
-0.104893445968628	-9.29258821997792E-05	
-0.105506859719753	-9.88698520814069E-05	
-0.106120273470879	-9.65818253462203E-05	
-0.106426984071732	-9.6796517027542E-05	
-0.107653804123402	-9.81276243692264E-05	
-0.107960514724255	-0.000100084413134027	
-0.108880631625652	-9.36251744860783E-05	
-0.10980074852705	-0.000106218540167902	
-0.110414162278175	-0.000100703960924875	
-0.110720872879028	-9.81828343356028E-05	
-0.111640989780426	-0.000104249484138563	
-0.112561106681824	-9.67106388998218E-05	
-0.112867817282677	-9.93360445136204E-05	
-0.114094637334347	-0.000100519930128939	
-0.114708051085472	-0.000101801968412474	
-0.115014761686325	-9.9710225185845E-05	
-0.11562816798687	-0.0001061878647306	
-0.116548292338848	-9.58334640017711E-05	
-0.117161706089973	-0.000101047466159798	
-0.117775112390518	-0.00010138484503841	
-0.118695236742496	-9.93544526863843E-05	
-0.119308650493622	-0.00010487516556168	
-0.12022876739502	-0.000106267609226052	
-0.120535470545292	-9.86980958259664E-05	
-0.121148884296417	-0.000109972621430643	
-0.12268241494894	-0.000101562734926119	
-0.122989125549793	-0.000103108533949126	
-0.123909242451191	-0.000107071180536877	
-0.124215945601463	-0.000103218946605921	
-0.124522656202316	-0.000105488579720259	
-0.125749483704567	-0.000107334948552307	
-0.126669600605965	-0.000106611121736933	
-0.126976311206818	-0.000104139071481768	
-0.127896428108215	-0.000110708715510555	
-0.128816545009613	-0.000102991987660062	
-0.129429951310158	-0.000109929686004762	
-0.130043372511864	-0.000107077314169146	
-0.130656778812408	-0.000107653926534113	
-0.130963489413261	-0.000110696448246017	
-0.132190316915512	-0.000111542962258682	
-0.13311043381691	-0.000103513390058652	
-0.133723840117455	-0.00011583071318455	
-0.13433726131916	-0.000111015426227823	
-0.134643957018852	-0.000110555367427878	
-0.135257378220558	-0.000116290771984495	
-0.136484205722809	-0.000112321991764475	
-0.137097612023354	-0.000109426684502978	
-0.137097612023354	-0.000114370792289265	
-0.138324439525604	-0.000108383886981755	
-0.139244556427002	-0.00011299061588943	
-0.1401646733284	-0.00011626623745542	
-0.139857977628708	-0.00011102769349236	
-0.14139150083065	-0.000114591617602855	
-0.14139150083065	-0.000114879927423317	
-0.142618328332901	-0.000112260655441787	
-0.143538445234299	-0.000112696172436699	
-0.143845155835152	-0.000120008051453624	
-0.144458562135696	-0.000109021835669409	
-0.145071983337402	-0.000118848707643338	
-0.145685389637947	-0.000114462804049253	
-0.146298810839653	-0.00011565895692911	
-0.147525623440742	-0.000119529591756873	
-0.148139044642448	-0.000120198215881828	
-0.149059161543846	-0.000115879789518658	
-0.149365872144699	-0.00012084843183402	
